127.0.0.1 - - [28/Apr/2016:10:57:44 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:57:46 +0530] "GET /Automation/ HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:57:46 +0530] "GET /Automation/css/user_menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:57:46 +0530] "GET /Automation/img/nuvem.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:57:46 +0530] "GET /Automation/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:57:46 +0530] "GET /Automation/images/admin_img/nav1_sep.gif HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:58:20 +0530] "GET /Automation/ HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:58:20 +0530] "GET /Automation/css/user_menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:58:21 +0530] "GET /Automation/img/nuvem.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:58:21 +0530] "GET /Automation/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:58:21 +0530] "GET /Automation/images/admin_img/nav1_sep.gif HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:58:21 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:58:25 +0530] "GET /Automation/user_login.jsp HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:59:18 +0530] "GET /Automation/user_register.jsp HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:59:20 +0530] "GET /Automation/invigilator_login.jsp HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:59:23 +0530] "GET /Automation/admin_login.jsp HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [28/Apr/2016:10:59:26 +0530] "GET /Automation/user_login.jsp HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:02:22 +0530] "GET /Automation/user_register.jsp HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:03:44 +0530] "GET /Automation/invigilator_login.jsp HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:03:57 +0530] "GET /Automation/user_login.jsp HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:14 +0530] "POST /Automation/LoginAction HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:14 +0530] "GET /Automation/css/admin_menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:14 +0530] "GET /Automation/css/admin_reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:14 +0530] "GET /Automation/js/events.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:14 +0530] "GET /Automation/css/admin_boxes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:14 +0530] "GET /Automation/js/tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:14 +0530] "GET /Automation/js/prototype.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:14 +0530] "GET /Automation/img/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:14 +0530] "GET /Automation/img/online_exam.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:14 +0530] "GET /Automation/images/admin_img/side_col_bg.gif HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:14 +0530] "GET /Automation/images/admin_img/nav1_sep.gif HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:14 +0530] "GET /Automation/images/admin_img/tabs_span_bg.gif HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:14 +0530] "GET /Automation/img/favicon.ico HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:04:19 +0530] "GET /Automation/ViewStudentExamnationSch HTTP/1.1" 200 5911
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:16:18 +0530] "GET /Automation/ViewStudentSeatingArangementAction HTTP/1.1" 200 5365
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:17:45 +0530] "GET /Automation/ViewStudentSeatingArangementAction HTTP/1.1" 200 5365
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:17:52 +0530] "GET /Automation/ViewStudentSeatingArangementAction HTTP/1.1" 200 5365
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:17:57 +0530] "GET /Automation/ViewStudentSeatingArangementAction HTTP/1.1" 200 5365
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:18:10 +0530] "GET /Automation/ViewStudentSeatingArangementAction HTTP/1.1" 200 5365
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:19:00 +0530] "GET /Automation/LogoutAction HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:19:02 +0530] "GET /Automation/admin_login.jsp HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:19:10 +0530] "POST /Automation/AdminLoginAction HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:19:10 +0530] "GET /Automation/img/ExamBuilder.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:19:13 +0530] "GET /Automation/admin_exam_schedule.jsp HTTP/1.1" 200 6644
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:19:15 +0530] "POST /Automation/ExaminationSchAction HTTP/1.1" 200 6644
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:19:17 +0530] "GET /Automation/admin_home.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:20:12 +0530] "GET /Automation/admin_seat_arrangement.jsp HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:21:12 +0530] "GET /Automation/admin_new_invigilator.jsp HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:21:20 +0530] "GET /Automation/admin_home.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:21:25 +0530] "GET /Automation/admin_exam_schedule.jsp HTTP/1.1" 200 6644
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:21:26 +0530] "GET /Automation/admin_exam_schedule.jsp HTTP/1.1" 200 6644
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:21:29 +0530] "GET /Automation/admin_home.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:21:30 +0530] "GET /Automation/admin_exam_schedule.jsp HTTP/1.1" 200 6644
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:23:50 +0530] "GET /Automation/LogoutAction HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:23:54 +0530] "GET /Automation/user_login.jsp HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:26:29 +0530] "GET /Automation/admin_login.jsp HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:26:39 +0530] "POST /Automation/AdminLoginAction HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:27:34 +0530] "GET /Automation/admin_seat_arrangement.jsp HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:27:47 +0530] "GET /Automation/admin_new_invigilator.jsp HTTP/1.1" 200 7662
